comparison,objective,training_seed,repeat_index,class_label,stratum_match_index,off_cell,on_cell,off_dataset_index,on_dataset_index,off_ln_margin,on_ln_margin,absolute_ln_margin_distance,caliper_ln_margin,delta_ln_margin,delta_ln_gradient,delta_ln_linearized_distance,delta_ln_distance_from_margin_minus_gradient,identity_residual,complete_case_delta_ln_pga_attack_l2,delta_ln_semantic_spectral_norm
C1_minus_C0,classification,2026,2,6,3,C0,C1,605,4698,1.2086009168401666,1.2096874787041925,0.0010865618640258923,0.20808122288399256,0.0010865618640258923,-0.5108416951909002,0.5119282546315665,0.5119282570549261,-2.4233595130596086e-09,0.39526245927115056,-0.5679670506423881
C1_minus_C0,classification,2026,2,6,4,C0,C1,9571,2584,1.0045008898047354,1.0059112610645238,0.0014103712597883789,0.20808122288399256,0.0014103712597883789,-0.5278666771177504,0.5292770374077385,0.5292770483775388,-1.096980029036132e-08,0.39059586982808264,-0.6178068909290704
C1_minus_C0,classification,2026,2,6,5,C0,C1,9550,7992,1.581163259418096,1.5793052408414903,0.0018580185766057244,0.20808122288399256,-0.0018580185766057244,-0.6697696915776369,0.6679116486444439,0.6679116730010312,-2.4356587302598598e-08,0.6806618667820814,-0.6325476635601396
C1_minus_C0,classification,2026,2,6,6,C0,C1,9693,7606,0.14402166894054444,0.1463768424906234,0.0023551735500789706,0.20808122288399256,0.0023551735500789706,-0.05687520072259811,0.059230366068387164,0.05923037427267708,-8.204289914104379e-09,0.20851838569751863,-0.5048475383785743
C1_minus_C0,classification,2026,2,6,7,C0,C1,4263,9513,-0.3400626779970308,-0.3427871471917806,0.002724469194749779,0.20808122288399256,-0.002724469194749779,-0.4471875617326435,0.44446302526048354,0.44446309253789373,-6.72774101984075e-08,0.28768231045641224,-0.5813604574600909
C1_minus_C0,classification,2026,2,6,8,C0,C1,4983,3179,-0.45941686197991194,-0.45666825923914744,0.002748602740764494,0.20808122288399256,0.002748602740764494,-0.5608463897832339,0.5635949528463128,0.5635949925239984,-3.9677685581551714e-08,0.510825266138186,-0.6848761908051777
C1_minus_C0,classification,2026,2,6,9,C0,C1,5284,4774,-0.354621476876693,-0.35793827015509344,0.003316793278400454,0.20808122288399256,-0.003316793278400454,-0.6603043637494556,0.6569875849083584,0.656987570471055,1.4437303352821118e-08,0.6931469942954956,-0.40947299731219755
C1_minus_C0,classification,2026,2,6,10,C0,C1,5895,4894,-0.31226290476534563,-0.3160323652753744,0.0037694605100287992,0.20808122288399256,-0.0037694605100287992,-0.5122351065260421,0.5084656143484536,0.5084656460160133,-3.1667559685644164e-08,0.2876821759320607,-0.5302895081425336
C1_minus_C0,classification,2026,2,6,11,C0,C1,3179,728,0.2705249186519633,0.26653499587485974,0.003989922777103583,0.20808122288399256,-0.003989922777103583,-0.19815836481491567,0.19416841156033382,0.19416844203781208,-3.047747826334657e-08,0.3186960983868686,-0.37483805577451734
C1_minus_C0,classification,2026,2,6,12,C0,C1,8160,9550,1.1609271125303107,1.1651035766356124,0.004176464105301703,0.20808122288399256,0.004176464105301703,-1.0749805288440883,1.0791570122193772,1.07915699294939,1.926998716150763e-08,1.0494968631741803,-0.44498112818454183
C1_minus_C0,classification,2026,2,6,13,C0,C1,8270,5370,-0.28022392818833275,-0.2846569882787214,0.00443306009038863,0.20808122288399256,-0.00443306009038863,-0.6297952469639905,0.6253621978173303,0.6253621868736019,1.0943728367962535e-08,0.5001293317590928,-0.42204527226345306
C1_minus_C0,classification,2026,2,6,14,C0,C1,7606,6483,0.905601095056306,0.9006226861961069,0.004978408860199179,0.20808122288399256,-0.004978408860199179,-0.4811150008082784,0.4761365556845947,0.4761365919480792,-3.6263484548548774e-08,0.4418325221351441,-0.6119601814291509
C1_minus_C0,classification,2026,2,6,15,C0,C1,6586,300,1.1171854290127476,1.1118422094556337,0.005343219557113921,0.20808122288399256,-0.005343219557113921,-0.3555151423273246,0.35017192985530754,0.3501719227702107,7.0850968425517635e-09,0.336108221439221,-0.3602941395748482
C1_minus_C0,classification,2026,2,6,16,C0,C1,8036,4263,1.5509629207594737,1.5450708853796409,0.0058920353798328495,0.20808122288399256,-0.0058920353798328495,-0.6473042716477442,0.6414121692839696,0.6414122362679113,-6.698394172666156e-08,0.3739299403640139,-0.26592610025513197
C1_minus_C0,classification,2026,2,6,17,C0,C1,9660,4746,0.1303722790859567,0.12157738574964483,0.008794893336311865,0.20808122288399256,-0.008794893336311865,-0.5532252781543087,0.5444304076885206,0.5444303848179968,2.287052380811616e-08,0.5108254813769846,-0.5426941737605658
C1_minus_C0,classification,2026,2,6,18,C0,C1,8781,2741,-1.0473885523398856,-1.0571028931329751,0.009714340793089526,0.20808122288399256,-0.009714340793089526,-0.5491186545260331,0.5394043370230623,0.5394043137329436,2.329011872248543e-08,0.6931467148985175,-0.5092830507124411
C1_minus_C0,classification,2026,2,6,19,C0,C1,4650,2072,0.1730100551635063,0.16296967742874227,0.010040377734764017,0.20808122288399256,-0.010040377734764017,-0.46962851363458746,0.4595881113068104,0.45958813589982345,-2.459301307045081e-08,0.32100158997160766,-0.4617395325261857
C1_minus_C0,classification,2026,2,6,20,C0,C1,1289,334,0.9875440395081408,0.9765794243981224,0.01096461511001845,0.20808122288399256,-0.01096461511001845,-0.8572336335167519,0.8462690223010205,0.8462690184067334,3.894287115002726e-09,0.9422907180272525,-0.48689475319425163
C1_minus_C0,classification,2026,2,6,21,C0,C1,1135,1483,0.5412759639475909,0.5302667992789155,0.011009164668675409,0.20808122288399256,-0.011009164668675409,-0.377024311978842,0.36601519963647133,0.3660151473101666,5.2326304733618656e-08,0.3740423379795339,-0.43012230460925954
C1_minus_C0,classification,2026,2,6,22,C0,C1,5740,6948,0.8597260115896785,0.8455388969112203,0.014187114678458235,0.20808122288399256,-0.014187114678458235,-0.2708522679521862,0.25666510647264684,0.25666515327372796,-4.6801081121650157e-08,0.3187658609298934,-0.4814380660375112
C1_minus_C0,classification,2026,2,6,23,C0,C1,963,71,1.2405959094707173,1.255084308289623,0.014488398818905734,0.20808122288399256,0.014488398818905734,-0.31087539787504015,0.32536382860380664,0.3253637966939459,3.190986075374269e-08,0.2596639440904895,-0.43097996666034744
C1_minus_C0,classification,2026,2,6,24,C0,C1,5664,9636,0.17862624316047448,0.19365689383955384,0.015030650679079355,0.20808122288399256,0.015030650679079355,-0.7066591598617025,0.7216898314034643,0.7216898105407819,2.08626824704794e-08,0.6931468080307683,-0.637362325597516
C1_minus_C0,classification,2026,2,6,25,C0,C1,9241,605,1.1746896162694938,1.19117491860507,0.016485302335576213,0.20808122288399256,0.016485302335576213,-0.1689955198175105,0.1854808538738828,0.1854808221530867,3.172079610092027e-08,0.16910806041107576,-0.42628864782280823
C1_minus_C0,classification,2026,2,6,26,C0,C1,2549,5843,1.1702673450361925,1.1533014634931615,0.016965881543030914,0.20808122288399256,-0.016965881543030914,-0.0570715570592899,0.04010561826499609,0.04010567551625899,-5.7251262897128896e-08,0.09950398500467748,-0.3550837110917186
C1_minus_C0,classification,2026,2,6,27,C0,C1,542,6392,1.1198732511563825,1.1018013713112014,0.018071879845181105,0.20808122288399256,-0.018071879845181105,-0.3900222467166454,0.3719503464706925,0.3719503668714643,-2.040077184961575e-08,0.3483068982209392,-0.34821532184728937
C1_minus_C0,classification,2026,2,6,28,C0,C1,9691,8315,-2.5641338217235417,-2.5840393957682837,0.019905574044742025,0.20808122288399256,-0.019905574044742025,-0.9174396652045783,0.8975341578853016,0.8975340911598363,6.672546526420575e-08,-3.725291769508173e-07,-0.6690634065556987
C1_minus_C0,classification,2026,2,6,29,C0,C1,71,4127,0.35219756730491447,0.33185370578976625,0.02034386151514822,0.20808122288399256,-0.02034386151514822,-0.6153706787973707,0.5950268037994886,0.5950268172822225,-1.3482733929315316e-08,0.5594354666751097,-0.6500953502101401
C1_minus_C0,classification,2026,2,6,30,C0,C1,2741,777,-0.8277810832784411,-0.8591008538995044,0.03131977062106328,0.20808122288399256,-0.03131977062106328,-0.7077724837667609,0.6764527632308959,0.6764527131456977,5.0085198211036186e-08,0.40546600321310816,-0.5965879341909486
